1221	26803	10420	162524 162529
1222	20187	7889	162530 162539
1240	30262	11770	162509 162529
1252	13838	5254	162516 162519 162529
1274	7141	2779	162481 162519
1320	11219	4293	162534 162541
1676	14018	5342	162533 162539
1732	21913	8466	162533 162541
1748	9975	3834	162521 162539
1882	6484	2519	162495 162516 162519
1909	9576	3567	162495 162516 162519
1960	5730	2084	162481 162493 162509 162516
2019	10582	4127	162513 162516 162519 162529
2021	7501	2829	162503 162512 162516
2105	8565	3202	162495 162512 162516
2329	24123	9384	162534 162538 162541
101864	4881	1573	162345 162467 162482 162515 162516
102125	7571	2439	162426 162428 162469 162502 162512 162516 162532
102407	4282	1304	162534 162538
102445	6899	2192	162381 162428 162467 162512 162516
102686	1785	574	162358 162386 162428 162466 162516
102716	1969	593	162193 162257 162259 162516
102880	1145	358	161560 161675 162326
102903	6304	1883	162469 162515 162516
103075	1585	487	161485 161542 161629 161650 161805 161877
103141	4029	1260	162294 162427 162502 162516
103228	4775	1509	162381 162467 162515 162516
103249	5734	1775	162349 162358 162394 162424 162452 162453 162516
103253	4779	1494	162334 162452 162462
103384	1518	456	161398 162174 162294 162467
103772	2921	948	162349 162424 162426 162467 162516
103810	1605	513	162358 162428
104241	1899	609	162221 162257 162286 162294 162349 162386 162516 162538
104243	2311	696	162386 162424
104841	11426	3578	162334 162463 162467 162482 162501 162516 162521
105213	1672	513	162349 162386
106002	3506	1078	162349 162424 162467 162516
106072	4945	1541	162386 162394 162426 162453 162467 162515 162516
106100	6410	1967	162457 162482 162501 162516
106487	8839	2753	162457 162467 162482 162515 162516
106489	7714	2386	162469 162482 162515 162516
106782	14769	4517	162457 162482 162501 162502 162516
106920	9755	3072	162386 162394 162400 162419 162424 162452 162467 162501 162516
107348	1625	525	162334 162502
107406	4403	1332	162334 162349 162386 162419 162424 162534
108190	3766	1134	162335 162349 162467 162516
108932	6274	1926	162515 162516
108945	1679	522	162286 162349
109374	12303	3784	162521 162534
109487	21673	6280	162457 162467 162482 162492 162501 162502 162516 162521 162526
109578	1408	429	162358 162482 162516
110102	8220	2541	162469 162482 162516
110407	334	100	160125 160501 161121
110730	2081	621	162358 162424 162516
111113	1909	571	162055 162428 162516
111360	4630	1374	162349 162386 162424 162452 162467 162515 162516 162521
111362	8633	2536	162394 162424 162426 162452 162453 162467 162512 162515 162516 162521
111443	1416	414	162334 162516
111659	3262	998	162311 162426 162516
111759	11763	3591	162469 162512 162516 162521
112138	3606	1118	162349 162426 162428 162516 162538
112171	2482	764	162358 162428 162516
112370	1397	410	161460 161560 161783 161888 162235 162257 162294 162516
112552	10682	3140	162457 162467 162482 162492 162516
112556	12296	3552	162534 162538
112623	4668	1343	162349 162358 162424 162426 162452 162453 162515 162516
112852	15533	4729	162469 162512 162515 162516 162521 162532
113345	1724	468	161091 161560 161606 161666 161888 162257 162462 162467 162516
114180	4572	1317	162349 162424 162426 162467 162482 162515 162516 162521
114847	716	207	162257 162297
114935	3647	1084	162349 162358 162424 162428 162467 162482 162516
115569	6980	2089	162400 162419 162424 162452 162467 162482 162516 162521
115617	10016	2793	162521 162534
115713	12106	3470	162457 162467 162482 162516 162526
116797	14912	4306	162534 162538
116823	6163	1801	162469 162502 162515 162516
116897	1873	532	161926 161953 162047 162067 162074 162500 162516
117529	5622	1527	162349 162386 162394 162467 162502 162515 162516
117533	1655	382	162210 162241
120466	2714	772	162386 162452 162467
122882	13035	3550	162426 162453 162467 162482 162501 162516
122886	12390	3086	162386 162394 162424 162428 162452 162453 162482 162501 162512 162515 162516
122892	7462	2085	162469 162482 162516
122896	1654	330	161156 161192 161398 161560 162029 162257 162286 162294 162349 162358
122900	6214	1731	162469 162512 162516
122906	3652	367	162221 162257 162271 162286 162349 162386 162424 162516
122912	6006	353	162271 162286 162293 162294 162305 162307 162335 162349 162386 162419 162424 162457 162516
122914	2802	47	158740 158746 158771 158794 158920 158934 158948 158983 158984 158999 159055 159093 159116 159261 159333 159417 159474 159498 159503 159523 159597 159607 159664 159665 159746 159961 160007 160213 160243 160244 160256 160538 160649 160732 161047 161194 161242 161251 161286 161288 161389 161460 161485 161560 161626 161675 161737 161749 161897 162067 162124 162140 162156 162174 162180 162190 162193 162221 162257 162297 162335 162400 162457 162516 162536
122918	6596	1266	162521 162534
122920	6179	1551	162386 162426 162469 162516
122922	6467	1456	162457 162469
122924	2896	695	162424 162426 162516
129354	1910	550	162055 162257 162334 162516
130490	2121	592	161962 162215 162257 162467 162516
130634	2256	618	162349 162512 162516
132046	1895	520	162055 162058 162074 162257 162296 162467 162516
134130	16017	4300	162457 162467 162482 162501 162516
134853	13142	3549	162521 162534
135133	3926	1039	162349 162426 162467 162502 162516
135143	4388	969	162457 162482 162516 162534
135536	3107	668	162286 162294 162311 162334 162349 162358 162386 162424 162426 162516
135569	2931	680	162457 162516
136020	3341	845	162349 162358 162426 162515 162516
136449	579	163	160024 160099 160538 160858 161181 161877
136469	222	52	156778 158226 159785 161269 162334
136864	2746	663	162349 162381 162426 162428 162516
139385	6905	1826	162349 162394 162424 162427 162482 162501 162516
139644	4254	1158	162349 162424 162482 162516
140956	2388	179	162221 162271 162286 162293 162294 162305 162424 162457 162516 162521 162534
142509	637	152	162386 162424 162516
143385	3705	953	162349 162467 162516
148626	7206	1874	162335 162400 162424 162457 162482 162501 162516
148855	57	14	143337 144928 146325 146719 149113 149249 157275
149406	1624	399	162286 162294 162305
151763	77	27	152177 158109
158238	3310	813	162271 162286 162334 162386 162400 162457
158966	1839	364	162286 162294 162334 162424 162482
159093	2653	599	162358 162426 162428
